C/A,UNIT,SCP,STATION,LINENAME,DIVISION,DATE,TIME,DESC,ENTRIES,EXITS                                                               
A002,R051,02-00-01,LEXINGTON AVE,NQR456,BMT,03/16/2015,12:00:00,REGULAR,0004681551,0001021694                                     
A002,R051,02-00-01,LEXINGTON AVE,NQR456,BMT,03/16/2015,16:00:00,REGULAR,0004681851,0001021736                                     
A002,R051,02-00-01,LEXINGTON AVE,NQR456,BMT,03/16/2015,20:00:00,REGULAR,0004682620,0001021772                                     
A002,R051,02-00-01,LEXINGTON AVE,NQR456,BMT,03/17/2015,00:00:00,REGULAR,0004682788,0001021788                                     
A002,R051,02-00-01,LEXINGTON AVE,NQR456,BMT,03/17/2015,04:00:00,REGULAR,0004682802,0001021792                                     
A002,R051,02-00-01,LEXINGTON AVE,NQR456,BMT,03/17/2015,07:40:35,REGULAR,0004682827,0001021817                                     
A002,R051,02-00-01,LEXINGTON AVE,NQR456,BMT,03/17/2015,08:00:00,REGULAR,0004682831,0001021824                                     
A002,R051,02-00-01,LEXINGTON AVE,NQR456,BMT,03/17/2015,12:00:00,REGULAR,0004682993,0001021975                                     
A002,R051,02-00-01,LEXINGTON AVE,NQR456,BMT,03/17/2015,16:00:00,REGULAR,0004683249,0001022020                                     
A002,R051,02-00-01,LEXINGTON AVE,NQR456,BMT,03/17/2015,20:00:00,REGULAR,0004684008,0001022091                                     
A002,R051,02-00-01,LEXINGTON AVE,NQR456,BMT,03/18/2015,00:00:00,REGULAR,0004684199,0001022111                                     
A002,R051,02-00-01,LEXINGTON AVE,NQR456,BMT,03/18/2015,04:00:00,REGULAR,0004684207,0001022115                                     
A002,R051,02-00-01,LEXINGTON AVE,NQR456,BMT,03/18/2015,08:00:00,REGULAR,0004684245,0001022159                                     
A002,R051,02-00-01,LEXINGTON AVE,NQR456,BMT,03/18/2015,12:00:00,REGULAR,0004684426,0001022306                                     
A002,R051,02-00-01,LEXINGTON AVE,NQR456,BMT,03/18/2015,16:00:00,REGULAR,0004684707,0001022359                                     
A002,R051,02-00-01,LEXINGTON AVE,NQR456,BMT,03/18/2015,20:00:00,REGULAR,0004685455,0001022416                                     
A002,R051,02-00-01,LEXINGTON AVE,NQR456,BMT,03/19/2015,00:00:00,REGULAR,0004685633,0001022435                                     
A002,R051,02-00-01,LEXINGTON AVE,NQR456,BMT,03/19/2015,04:00:00,REGULAR,0004685640,0001022439                                     
A002,R051,02-00-01,LEXINGTON AVE,NQR456,BMT,03/19/2015,08:00:00,REGULAR,0004685682,0001022481                                     
A002,R051,02-00-01,LEXINGTON AVE,NQR456,BMT,03/19/2015,12:00:00,REGULAR,0004685844,0001022645                                     
A002,R051,02-00-01,LEXINGTON AVE,NQR456,BMT,03/19/2015,16:00:00,REGULAR,0004686149,0001022700                                     
A002,R051,02-00-01,LEXINGTON AVE,NQR456,BMT,03/19/2015,20:00:00,REGULAR,0004686900,0001022761                                     
A002,R051,02-00-01,LEXINGTON AVE,NQR456,BMT,03/20/2015,00:00:00,REGULAR,0004687096,0001022784                                     
A002,R051,02-00-01,LEXINGTON AVE,NQR456,BMT,03/20/2015,04:00:00,REGULAR,0004687111,0001022788                                     
A002,R051,02-00-01,LEXINGTON AVE,NQR456,BMT,03/20/2015,08:00:00,REGULAR,0004687149,0001022816                                     
A002,R051,02-00-01,LEXINGTON AVE,NQR456,BMT,03/20/2015,12:00:00,REGULAR,0004687325,0001022987                                     
A002,R051,02-00-01,LEXINGTON AVE,NQR456,BMT,03/20/2015,16:00:00,REGULAR,0004687632,0001023036                                     
A002,R051,02-00-01,LEXINGTON AVE,NQR456,BMT,03/20/2015,20:00:00,REGULAR,0004688375,0001023100                                     
A002,R051,02-03-00,LEXINGTON AVE,NQR456,BMT,03/14/2015,00:00:00,REGULAR,0000462237,0001744305                                     
A002,R051,02-03-00,LEXINGTON AVE,NQR456,BMT,03/14/2015,04:00:00,REGULAR,0000462255,0001744332                                     
A002,R051,02-03-00,LEXINGTON AVE,NQR456,BMT,03/14/2015,08:00:00,REGULAR,0000462257,0001744393                                     
A002,R051,02-03-00,LEXINGTON AVE,NQR456,BMT,03/14/2015,12:00:00,REGULAR,0000462289,0001744715                                     
A002,R051,02-03-00,LEXINGTON AVE,NQR456,BMT,03/14/2015,16:00:00,REGULAR,0000462360,0001745090                                     
A002,R051,02-03-00,LEXINGTON AVE,NQR456,BMT,03/14/2015,20:00:00,REGULAR,0000462503,0001745459                                     
A002,R051,02-03-00,LEXINGTON AVE,NQR456,BMT,03/15/2015,00:00:00,REGULAR,0000462593,0001745635                                     
A002,R051,02-03-00,LEXINGTON AVE,NQR456,BMT,03/15/2015,04:00:00,REGULAR,0000462605,0001745654                                     
A002,R051,02-03-00,LEXINGTON AVE,NQR456,BMT,03/15/2015,08:00:00,REGULAR,0000462611,0001745697                                     
A002,R051,02-03-00,LEXINGTON AVE,NQR456,BMT,03/15/2015,12:00:00,REGULAR,0000462645,0001745932                                     
A002,R051,02-03-00,LEXINGTON AVE,NQR456,BMT,03/15/2015,16:00:00,REGULAR,0000462729,0001746316                                     
A002,R051,02-03-00,LEXINGTON AVE,NQR456,BMT,03/15/2015,20:00:00,REGULAR,0000462820,0001746646                                     
A002,R051,02-03-00,LEXINGTON AVE,NQR456,BMT,03/16/2015,00:00:00,REGULAR,0000462877,0001746750                                     
A002,R051,02-03-00,LEXINGTON AVE,NQR456,BMT,03/16/2015,04:00:00,REGULAR,0000462882,0001746759                                     
A002,R051,02-03-00,LEXINGTON AVE,NQR456,BMT,03/16/2015,08:00:00,REGULAR,0000462897,0001747052                                     
A002,R051,02-03-00,LEXINGTON AVE,NQR456,BMT,03/16/2015,12:00:00,REGULAR,0000462957,0001747930                                     
A002,R051,02-03-00,LEXINGTON AVE,NQR456,BMT,03/16/2015,16:00:00,REGULAR,0000463082,0001748327                                     
A002,R051,02-03-00,LEXINGTON AVE,NQR456,BMT,03/16/2015,20:00:00,REGULAR,0000463363,0001748974                                     
A002,R051,02-03-00,LEXINGTON AVE,NQR456,BMT,03/17/2015,00:00:00,REGULAR,0000463471,0001749163                                     
A002,R051,02-03-00,LEXINGTON AVE,NQR456,BMT,03/17/2015,04:00:00,REGULAR,0000463475,0001749172                                     
A002,R051,02-03-00,LEXINGTON AVE,NQR456,BMT,03/17/2015,07:40:35,REGULAR,0000463477,0001749370                                     
A002,R051,02-03-00,LEXINGTON AVE,NQR456,BMT,03/17/2015,08:00:00,REGULAR,0000463480,0001749445                                     
A002,R051,02-03-00,LEXINGTON AVE,NQR456,BMT,03/17/2015,12:00:00,REGULAR,0000463537,0001750395                                     
A002,R051,02-03-00,LEXINGTON AVE,NQR456,BMT,03/17/2015,16:00:00,REGULAR,0000463647,0001750821                                     
A002,R051,02-03-00,LEXINGTON AVE,NQR456,BMT,03/17/2015,20:00:00,REGULAR,0000463949,0001751428                                     
A002,R051,02-03-00,LEXINGTON AVE,NQR456,BMT,03/18/2015,00:00:00,REGULAR,0000464049,0001751639                                     
A002,R051,02-03-00,LEXINGTON AVE,NQR456,BMT,03/18/2015,04:00:00,REGULAR,0000464057,0001751651                                     
A002,R051,02-03-00,LEXINGTON AVE,NQR456,BMT,03/18/2015,08:00:00,REGULAR,0000464072,0001751925                                     
A002,R051,02-03-00,LEXINGTON AVE,NQR456,BMT,03/18/2015,12:00:00,REGULAR,0000464140,0001752831                                     
A002,R051,02-03-00,LEXINGTON AVE,NQR456,BMT,03/18/2015,16:00:00,REGULAR,0000464260,0001753268                                     
A002,R051,02-03-00,LEXINGTON AVE,NQR456,BMT,03/18/2015,20:00:00,REGULAR,0000464561,0001753975                                     
A002,R051,02-03-00,LEXINGTON AVE,NQR456,BMT,03/19/2015,00:00:00,REGULAR,0000464659,0001754214                                     
A002,R051,02-03-00,LEXINGTON AVE,NQR456,BMT,03/19/2015,04:00:00,REGULAR,0000464663,0001754230                                     
A002,R051,02-03-00,LEXINGTON AVE,NQR456,BMT,03/19/2015,08:00:00,REGULAR,0000464681,0001754487                                     
A002,R051,02-03-00,LEXINGTON AVE,NQR456,BMT,03/19/2015,12:00:00,REGULAR,0000464748,0001755398                                     
A002,R051,02-03-00,LEXINGTON AVE,NQR456,BMT,03/19/2015,16:00:00,REGULAR,0000464884,0001755879                                     
A002,R051,02-03-00,LEXINGTON AVE,NQR456,BMT,03/19/2015,20:00:00,REGULAR,0000465218,0001756552                                     
A002,R051,02-03-00,LEXINGTON AVE,NQR456,BMT,03/20/2015,00:00:00,REGULAR,0000465331,0001756787                                     
A002,R051,02-03-00,LEXINGTON AVE,NQR456,BMT,03/20/2015,04:00:00,REGULAR,0000465335,0001756802                                     
A002,R051,02-03-00,LEXINGTON AVE,NQR456,BMT,03/20/2015,08:00:00,REGULAR,0000465357,0001757054                                     
A002,R051,02-03-00,LEXINGTON AVE,NQR456,BMT,03/20/2015,12:00:00,REGULAR,0000465431,0001757902                                     
A002,R051,02-03-00,LEXINGTON AVE,NQR456,BMT,03/20/2015,16:00:00,REGULAR,0000465567,0001758414                                     
A002,R051,02-03-00,LEXINGTON AVE,NQR456,BMT,03/20/2015,20:00:00,REGULAR,0000465875,0001759068                                     
A002,R051,02-03-01,LEXINGTON AVE,NQR456,BMT,03/14/2015,00:00:00,REGULAR,0004623310,0007261923                                     
A002,R051,02-03-01,LEXINGTON AVE,NQR456,BMT,03/14/2015,04:00:00,REGULAR,0004623360,0007261965                                     
A002,R051,02-03-01,LEXINGTON AVE,NQR456,BMT,03/14/2015,08:00:00,REGULAR,0004623382,0007262081                                     
A002,R051,02-03-01,LEXINGTON AVE,NQR456,BMT,03/14/2015,12:00:00,REGULAR,0004623512,0007262457                                     
A002,R051,02-03-01,LEXINGTON AVE,NQR456,BMT,03/14/2015,16:00:00,REGULAR,0004623749,0007262917                                     
A002,R051,02-03-01,LEXINGTON AVE,NQR456,BMT,03/14/2015,20:00:00,REGULAR,0004624050,0007263356                                     
A002,R051,02-03-01,LEXINGTON AVE,NQR456,BMT,03/15/2015,00:00:00,REGULAR,0004624279,0007263584                                     
A002,R051,02-03-01,LEXINGTON AVE,NQR456,BMT,03/15/2015,04:00:00,REGULAR,0004624319,0007263619                                     
A002,R051,02-03-01,LEXINGTON AVE,NQR456,BMT,03/15/2015,08:00:00,REGULAR,0004624352,0007263678                                     
A002,R051,02-03-01,LEXINGTON AVE,NQR456,BMT,03/15/2015,12:00:00,REGULAR,0004624443,0007263987                                     
A002,R051,02-03-01,LEXINGTON AVE,NQR456,BMT,03/15/2015,16:00:00,REGULAR,0004624677,0007264423                                     
A002,R051,02-03-01,LEXINGTON AVE,NQR456,BMT,03/15/2015,20:00:00,REGULAR,0004624954,0007264801                                     
A002,R051,02-03-01,LEXINGTON AVE,NQR456,BMT,03/16/2015,00:00:00,REGULAR,0004625145,0007264963                                     
A002,R051,02-03-01,LEXINGTON AVE,NQR456,BMT,03/16/2015,04:00:00,REGULAR,0004625157,0007264982                                     
A002,R051,02-03-01,LEXINGTON AVE,NQR456,BMT,03/16/2015,08:00:00,REGULAR,0004625204,0007265304                                     
A002,R051,02-03-01,LEXINGTON AVE,NQR456,BMT,03/16/2015,12:00:00,REGULAR,0004625373,0007266208                                     
A002,R051,02-03-01,LEXINGTON AVE,NQR456,BMT,03/16/2015,16:00:00,REGULAR,0004625680,0007266645                                     
A002,R051,02-03-01,LEXINGTON AVE,NQR456,BMT,03/16/2015,20:00:00,REGULAR,0004626295,0007267309                                     
A002,R051,02-03-01,LEXINGTON AVE,NQR456,BMT,03/17/2015,00:00:00,REGULAR,0004626566,0007267503                                     
A002,R051,02-03-01,LEXINGTON AVE,NQR456,BMT,03/17/2015,04:00:00,REGULAR,0004626589,0007267524                                     
A002,R051,02-03-01,LEXINGTON AVE,NQR456,BMT,03/17/2015,07:40:35,REGULAR,0004626632,0007267749                                     
A002,R051,02-03-01,LEXINGTON AVE,NQR456,BMT,03/17/2015,08:00:00,REGULAR,0004626646,0007267832                                     
A002,R051,02-03-01,LEXINGTON AVE,NQR456,BMT,03/17/2015,12:00:00,REGULAR,0004626827,0007268726                                     
A002,R051,02-03-01,LEXINGTON AVE,NQR456,BMT,03/17/2015,16:00:00,REGULAR,0004627114,0007269203                                     
A002,R051,02-03-01,LEXINGTON AVE,NQR456,BMT,03/17/2015,20:00:00,REGULAR,0004627752,0007269862                                     
A002,R051,02-03-01,LEXINGTON AVE,NQR456,BMT,03/18/2015,00:00:00,REGULAR,0004628002,0007270098                                     
A002,R051,02-03-01,LEXINGTON AVE,NQR456,BMT,03/18/2015,04:00:00,REGULAR,0004628027,0007270122                                     
A002,R051,02-03-01,LEXINGTON AVE,NQR456,BMT,03/18/2015,08:00:00,REGULAR,0004628080,0007270444                                     
A002,R051,02-03-01,LEXINGTON AVE,NQR456,BMT,03/18/2015,12:00:00,REGULAR,0004628272,0007271361                                     
A002,R051,02-03-01,LEXINGTON AVE,NQR456,BMT,03/18/2015,16:00:00,REGULAR,0004628586,0007271806                                     
A002,R051,02-03-01,LEXINGTON AVE,NQR456,BMT,03/18/2015,20:00:00,REGULAR,0004629174,0007272526                                     
A002,R051,02-03-01,LEXINGTON AVE,NQR456,BMT,03/19/2015,00:00:00,REGULAR,0004629446,0007272767                                     
A002,R051,02-03-01,LEXINGTON AVE,NQR456,BMT,03/19/2015,04:00:00,REGULAR,0004629464,0007272792                                     
A002,R051,02-03-01,LEXINGTON AVE,NQR456,BMT,03/19/2015,08:00:00,REGULAR,0004629504,0007273129                                     
A002,R051,02-03-01,LEXINGTON AVE,NQR456,BMT,03/19/2015,12:00:00,REGULAR,0004629659,0007274074                                     
A002,R051,02-03-01,LEXINGTON AVE,NQR456,BMT,03/19/2015,16:00:00,REGULAR,0004629984,0007274526                                     
A002,R051,02-03-01,LEXINGTON AVE,NQR456,BMT,03/19/2015,20:00:00,REGULAR,0004630617,0007275190                                     
A002,R051,02-03-01,LEXINGTON AVE,NQR456,BMT,03/20/2015,00:00:00,REGULAR,0004630880,0007275460                                     
A002,R051,02-03-01,LEXINGTON AVE,NQR456,BMT,03/20/2015,04:00:00,REGULAR,0004630907,0007275484                                     
A002,R051,02-03-01,LEXINGTON AVE,NQR456,BMT,03/20/2015,08:00:00,REGULAR,0004630957,0007275794                                     
A002,R051,02-03-01,LEXINGTON AVE,NQR456,BMT,03/20/2015,12:00:00,REGULAR,0004631128,0007276654                                     
A002,R051,02-03-01,LEXINGTON AVE,NQR456,BMT,03/20/2015,16:00:00,REGULAR,0004631448,0007277084                                     
A002,R051,02-03-01,LEXINGTON AVE,NQR456,BMT,03/20/2015,20:00:00,REGULAR,0004632036,0007277746                                     
A002,R051,02-03-02,LEXINGTON AVE,NQR456,BMT,03/14/2015,00:00:00,REGULAR,0004355453,0005989729                                     
A002,R051,02-03-02,LEXINGTON AVE,NQR456,BMT,03/14/2015,04:00:00,REGULAR,0004355495,0005989772                                     
A002,R051,02-03-02,LEXINGTON AVE,NQR456,BMT,03/14/2015,08:00:00,REGULAR,0004355514,0005989862                                     
A002,R051,02-03-02,LEXINGTON AVE,NQR456,BMT,03/14/2015,12:00:00,REGULAR,0004355606,0005990152                                     
A002,R051,02-03-02,LEXINGTON AVE,NQR456,BMT,03/14/2015,16:00:00,REGULAR,0004355822,0005990463                                     
A002,R051,02-03-02,LEXINGTON AVE,NQR456,BMT,03/14/2015,20:00:00,REGULAR,0004356129,0005990787                                     
A002,R051,02-03-02,LEXINGTON AVE,NQR456,BMT,03/15/2015,00:00:00,REGULAR,0004356300,0005990958                                     
A002,R051,02-03-02,LEXINGTON AVE,NQR456,BMT,03/15/2015,04:00:00,REGULAR,0004356332,0005991001                                     
A002,R051,02-03-02,LEXINGTON AVE,NQR456,BMT,03/15/2015,08:00:00,REGULAR,0004356365,0005991062                                     
A002,R051,02-03-02,LEXINGTON AVE,NQR456,BMT,03/15/2015,12:00:00,REGULAR,0004356438,0005991282                                     
A002,R051,02-03-02,LEXINGTON AVE,NQR456,BMT,03/15/2015,16:00:00,REGULAR,0004356657,0005991574                                     
A002,R051,02-03-02,LEXINGTON AVE,NQR456,BMT,03/15/2015,20:00:00,REGULAR,0004356888,0005991852                                     
A002,R051,02-03-02,LEXINGTON AVE,NQR456,BMT,03/16/2015,00:00:00,REGULAR,0004357056,0005991983                                     
A002,R051,02-03-02,LEXINGTON AVE,NQR456,BMT,03/16/2015,04:00:00,REGULAR,0004357069,0005992004                                     
A002,R051,02-03-02,LEXINGTON AVE,NQR456,BMT,03/16/2015,08:00:00,REGULAR,0004357112,0005992353                                     
A002,R051,02-03-02,LEXINGTON AVE,NQR456,BMT,03/16/2015,12:00:00,REGULAR,0004357319,0005993156                                     
A002,R051,02-03-02,LEXINGTON AVE,NQR456,BMT,03/16/2015,16:00:00,REGULAR,0004357594,0005993505                                     
A002,R051,02-03-02,LEXINGTON AVE,NQR456,BMT,03/16/2015,20:00:00,REGULAR,0004358246,0005994010                                     
A002,R051,02-03-02,LEXINGTON AVE,NQR456,BMT,03/17/2015,00:00:00,REGULAR,0004358484,0005994151                                     
A002,R051,02-03-02,LEXINGTON AVE,NQR456,BMT,03/17/2015,04:00:00,REGULAR,0004358504,0005994174                                     
A002,R051,02-03-02,LEXINGTON AVE,NQR456,BMT,03/17/2015,07:40:35,REGULAR,0004358552,0005994463                                     
A002,R051,02-03-02,LEXINGTON AVE,NQR456,BMT,03/17/2015,08:00:00,REGULAR,0004358563,0005994571                                     
A002,R051,02-03-02,LEXINGTON AVE,NQR456,BMT,03/17/2015,12:00:00,REGULAR,0004358746,0005995490                                     
A002,R051,02-03-02,LEXINGTON AVE,NQR456,BMT,03/17/2015,16:00:00,REGULAR,0004359078,0005995800                                     
A002,R051,02-03-02,LEXINGTON AVE,NQR456,BMT,03/17/2015,20:00:00,REGULAR,0004359755,0005996354                                     
A002,R051,02-03-02,LEXINGTON AVE,NQR456,BMT,03/18/2015,00:00:00,REGULAR,0004359981,0005996563                                     
A002,R051,02-03-02,LEXINGTON AVE,NQR456,BMT,03/18/2015,04:00:00,REGULAR,0004360005,0005996581                                     
A002,R051,02-03-02,LEXINGTON AVE,NQR456,BMT,03/18/2015,08:00:00,REGULAR,0004360045,0005996953                                     
A002,R051,02-03-02,LEXINGTON AVE,NQR456,BMT,03/18/2015,12:00:00,REGULAR,0004360265,0005997774                                     
A002,R051,02-03-02,LEXINGTON AVE,NQR456,BMT,03/18/2015,16:00:00,REGULAR,0004360568,0005998114                                     
A002,R051,02-03-02,LEXINGTON AVE,NQR456,BMT,03/18/2015,20:00:00,REGULAR,0004361207,0005998580                                     
A002,R051,02-03-02,LEXINGTON AVE,NQR456,BMT,03/19/2015,00:00:00,REGULAR,0004361427,0005998823                                     
A002,R051,02-03-02,LEXINGTON AVE,NQR456,BMT,03/19/2015,04:00:00,REGULAR,0004361440,0005998842                                     
A002,R051,02-03-02,LEXINGTON AVE,NQR456,BMT,03/19/2015,08:00:00,REGULAR,0004361486,0005999224                                     
A002,R051,02-03-02,LEXINGTON AVE,NQR456,BMT,03/19/2015,12:00:00,REGULAR,0004361680,0006000082                                     
A002,R051,02-03-02,LEXINGTON AVE,NQR456,BMT,03/19/2015,16:00:00,REGULAR,0004362014,0006000428                                     
A002,R051,02-03-02,LEXINGTON AVE,NQR456,BMT,03/19/2015,20:00:00,REGULAR,0004362667,0006000889                                     
A002,R051,02-03-02,LEXINGTON AVE,NQR456,BMT,03/20/2015,00:00:00,REGULAR,0004362906,0006001094                                     
A002,R051,02-03-02,LEXINGTON AVE,NQR456,BMT,03/20/2015,04:00:00,REGULAR,0004362930,0006001111                                     
A002,R051,02-03-02,LEXINGTON AVE,NQR456,BMT,03/20/2015,08:00:00,REGULAR,0004362979,0006001461                                     
A002,R051,02-03-02,LEXINGTON AVE,NQR456,BMT,03/20/2015,12:00:00,REGULAR,0004363161,0006002309                                     
A002,R051,02-03-02,LEXINGTON AVE,NQR456,BMT,03/20/2015,16:00:00,REGULAR,0004363469,0006002664                                     
A002,R051,02-03-02,LEXINGTON AVE,NQR456,BMT,03/20/2015,20:00:00,REGULAR,0004364045,0006003193                                     
A002,R051,02-03-03,LEXINGTON AVE,NQR456,BMT,03/14/2015,00:00:00,REGULAR,0003994341,0004880599                                     
