movie_title,domestic_total_gross,runtime,budget,release_date,distributor,genre,actors,director,producers,rank_year,rank_history,number_theaters,close_date,imdb_rating,metascore_rating,rt_critics,rt_audience,video_sales
American Gigolo,"$22,743,674",1 hrs. 57 min.,N/A,"February 1, 1980",Paramount,"['Crime', 'Drama', 'Thriller']","['Richard Gere', 'Lauren Hutton', 'Hector Elizondo']",['Paul Schrader'],['Jerry Bruckheimer'],29,"2,801",,,62,,67,51,
My Bodyguard,"$22,482,952",1 hrs. 36 min.,N/A,"July 11, 1980",Fox,"['Action', 'Drama', 'Thriller']","['Denzel Washington', 'Christopher Walken', 'Dakota Fanning']",Tony Scott,,30,"2,819",,,78,47,85,69,
The Fog,"$21,378,361",1 hrs. 30 min.,N/A,"February 1, 1980",AVCO Embassy,['Horror'],"['Adrienne Barbeau', 'Jamie Lee Curtis', 'Janet Leigh']",['John Carpenter'],,31,"2,910",,,68,,69,64,
Fame,"$21,202,829",2 hrs. 14 min.,N/A,"May 16, 1980",MGM,"['Drama', 'Music', 'Musical']","['Eddie Barth', 'Irene Cara', 'Lee Curreri']",['Alan Parker'],,32,"2,926",,,65,,80,69,
Tess,"$20,093,330",2 hrs. 52 min.,N/A,"December 12, 1980",Columbia,"['Drama', 'Romance']","['Nastassja Kinski', 'Peter Firth', 'Leigh Lawson']",['Roman Polanski'],,33,"3,031",,,73,,85,78,
Altered States,"$19,853,892",1 hrs. 43 min.,N/A,"December 25, 1980",Warner Bros.,"['Drama', 'Fantasy', 'Horror', 'Sci-Fi', 'Thriller']","['William Hurt', 'Blair Brown', 'Bob Balaban']",['Ken Russell'],,34,"3,053",,,69,,86,71,
Song of the South,"$19,800,000",1 hrs. 34 min.,N/A,"October 8, 1980",Buena Vista,"['Animation', 'Family', 'Music']","['Ruth Warrick', 'Bobby Driscoll', 'James Baskett']","['Wilfred Jackson', 'Harve Foster']",,35,"1,937",,,74,,56,74,
Cruising,"$19,784,223",1 hrs. 46 min.,N/A,"February 15, 1980",MGM,"['Crime', 'Drama', 'Mystery', 'Thriller']","['Al Pacino', 'Paul Sorvino', 'Karen Allen']",['William Friedkin'],,36,"3,055",,,63,,50,49,
The Octagon,"$18,971,000",1 hrs. 43 min.,N/A,"August 14, 1980",American Cinema,"['Action', 'Drama', 'Romance', 'Thriller']","['Chuck Norris', 'Karen Carlson', 'Lee Van Cleef']",Eric Karson,,37,"3,129",,,50,,33,31,
The Aristocats,"$18,000,000",1 hrs. 18 min.,N/A,"December 19, 1980",Buena Vista,"['Animation', 'Adventure', 'Comedy', 'Family', 'Music']","['Phil Harris', 'Eva Gabor', 'Sterling Holloway']",Wolfgang Reitherman,,38,"3,213",,,71,,66,70,
Honeysuckle Rose,"$17,815,212",1 hrs. 59 min.,N/A,"July 18, 1980",Warner Bros.,"['Music', 'Romance', 'Drama']","['Willie Nelson', 'Dyan Cannon', 'Amy Irving']",Jerry Schatzberg,['Sydney Pollack (executive)'],39,"3,226",,,61,,None,None,
Rough Cut,"$16,656,125",1 hrs. 51 min.,N/A,"June 20, 1980",Paramount,"['Adventure', 'Comedy', 'Crime', 'Mystery', 'Romance']","['Burt Reynolds', 'Lesley-Anne Down', 'David Niven']","['Don Siegel', 'Peter R. Hunt']",,41,"3,356",,,56,,None,None,
The Final Countdown,"$16,647,800",1 hrs. 42 min.,N/A,"August 1, 1980",MGM,"['Action', 'Sci-Fi']","['Kirk Douglas', 'Martin Sheen', 'Katharine Ross']",Don Taylor,,42,"3,359",,,67,,40,62,
The Hunter,"$16,274,150",1 hrs. 37 min.,N/A,"August 1, 1980",Paramount,"['Adventure', 'Drama', 'Thriller']","['Willem Dafoe', 'Sam Neill', 'Morgana Davies']",Daniel Nettheim,,43,"3,395",,,68,63,69,62,
Hero at Large,"$15,934,737",1 hrs. 55 min.,N/A,"February 8, 1980",MGM,"['Comedy', 'Romance']","['John Ritter', 'Anne Archer', 'Bert Convy']",Martin Davidson,,44,"3,440",,,62,,None,51,
The Long Riders,"$15,795,189",1 hrs. 39 min.,N/A,"May 16, 1980",United Artists,"['History', 'Western']","['David Carradine', 'Stacy Keach', 'Dennis Quaid']",['Walter Hill'],['James Keach (executive)'],45,"3,448",,,71,,82,74,
The Island,"$15,716,828",1 hrs. 54 min.,$22 million,"June 13, 1980",Universal,"['Action', 'Adventure', 'Sci-Fi', 'Thriller']","['Scarlett Johansson', 'Ewan McGregor', 'Djimon Hounsou']",Michael Bay,,46,"3,456",,,69,5,None,None,
Close Encounters of the Third Kind,"$15,693,175",2 hrs. 17 min.,N/A,"November 14, 1980",Columbia,"['Drama', 'Sci-Fi']",,Steven Spielberg,,47,,,,77,9,96,85,
First Family,"$15,198,912",1 hrs. 44 min.,N/A,"December 25, 1980",Warner Bros.,['Comedy'],"['Timothy Bottoms', 'Carrie Quinn Dolin', 'Kurt Fuller']","[' \n\n\n\nThe Spirit of Christmas\n\n\n\n', '']",,48,"3,512",,,75,,20,10,
Prom Night,"$14,796,236",1 hrs. 34 min.,N/A,"August 15, 1980",Embassy,"['Horror', 'Mystery']","['Brittany Snow', 'Scott Porter', 'Jessica Stroup']",Nelson McCormick,,49,"3,569",,,39,17,39,35,
The Nude Bomb,"$14,662,035",1 hrs. 34 min.,N/A,"May 9, 1980",Universal,"['Comedy', 'Crime', 'Mystery', 'Sci-Fi']","['Don Adams', 'Andrea Howard', 'Sylvia Kristel']",['Clive Donner'],,50,"3,586",,,50,,19,39,
"Oh, God! Book II","$14,504,277",1 hrs. 34 min.,N/A,"October 3, 1980",Warner Bros.,"['Comedy', 'Fantasy']","['George Burns', 'Suzanne Pleshette', 'David Birney']",Gilbert Cates,,51,"3,603",,,50,,50,38,
The Competition,"$14,287,755",2 hrs. 6 min.,N/A,"December 3, 1980",Columbia,"['Drama', 'Romance', 'Music']","['Richard Dreyfuss', 'Amy Irving', 'Lee Remick']",Joel Oliansky,,52,"3,633",,,67,,100,64,
Wholly Moses,"$14,155,617",1 hrs. 44 min.,N/A,"June 13, 1980",Columbia,"['Comedy', 'Fantasy', 'History']","['Dudley Moore', 'Laraine Newman', 'James Coco']",['Gary Weis'],,53,"3,653",,,41,,None,44,
Mary Poppins,"$14,000,000",2 hrs. 19 min.,N/A,"May 23, 1980",Buena Vista,"['Comedy', 'Family', 'Fantasy', 'Musical']","['Julie Andrews', 'Dick Van Dyke', 'David Tomlinson']",Robert Stevenson,,54,,,,78,,100,86,
Last Married Couple in America,"$12,835,544",1 hrs. 43 min.,N/A,"February 8, 1980",Universal,['Comedy'],"['George Segal', 'Natalie Wood', 'Richard Benjamin']",Gilbert Cates,,55,"3,822",,,52,,None,23,
Used Cars,"$11,715,321",1 hrs. 53 min.,$8 million,"July 18, 1980",Columbia,['Comedy'],"['Kurt Russell', 'Jack Warden', 'Gerrit Graham']",['Robert Zemeckis'],['Steven Spielberg (executive)'],56,"3,958",,,68,,78,70,
The Mirror Crack'd,"$11,000,000",1 hrs. 45 min.,N/A,"December 19, 1980",Associated Film Dist.,"['Crime', 'Mystery', 'Thriller']","['Angela Lansbury', 'Tony Curtis', 'Rock Hudson']",Guy Hamilton,,58,"4,059",,,62,,None,None,
The Last Flight of Noah's Ark,"$11,000,000",1 hrs. 38 min.,N/A,"July 27, 1980",Buena Vista,"['Adventure', 'Family']",,Charles Jarrott,,57,"4,058",,,57,,,,
The Fiendish Plot of Dr. Fu Manchu,"$10,697,276",1 hrs. 48 min.,N/A,"August 8, 1980",Warner Bros.,['Comedy'],"['Peter Sellers', 'Helen Mirren', 'David Tomlinson']","['Piers Haggard', 'Richard Quine']",,59,"4,093",,,49,,20,48,
Stardust Memories,"$10,389,003",1 hrs. 31 min.,$10 million,"September 26, 1980",United Artists,"['Comedy', 'Drama']","['Woody Allen', 'Charlotte Rampling', 'Jessica Harper']",['Woody Allen'],,60,"4,149",,,74,,None,None,
The Hollywood Knights,"$10,000,000",1 hrs. 32 min.,N/A,"May 16, 1980",Columbia,['Comedy'],"['Tony Danza', 'Michelle Pfeiffer', 'Julius Averitt']",Floyd Mutrux,,61,"4,223",,,62,,None,73,
Serial,"$9,870,727",1 hrs. 30 min.,N/A,"March 28, 1980",Paramount,['Comedy'],"['Martin Mull', 'Tuesday Weld', 'Jennifer McAllister']",Bill Persky,,62,"4,238",,,67,,None,81,
Somewhere in Time,"$9,709,597",1 hrs. 43 min.,N/A,"October 3, 1980",Universal,"['Drama', 'Fantasy', 'Romance', 'Sci-Fi']","['Christopher Reeve', 'Jane Seymour', 'Christopher Plummer']",Jeannot Szwarc,,63,"4,253",,,73,29,59,89,
Saturn 3,"$9,000,000",1 hrs. 28 min.,N/A,"February 15, 1980",Associated Film Dist.,"['Adventure', 'Sci-Fi', 'Thriller']","['Farrah Fawcett', 'Kirk Douglas', 'Harvey Keitel']","['Stanley Donen', 'John Barry']",,65,"4,343",,,50,,None,None,
Tribute,"$9,000,000",2 hrs. 1 min.,N/A,"December 14, 1980",Fox,"['Drama', 'Mystery', 'Romance']","['Brittany Murphy', 'Jason Lewis', 'Christian Oliver']",Martha Coolidge,,64,"4,342",,,56,,None,63,
The Formula,"$8,894,289",1 hrs. 57 min.,N/A,"December 19, 1980",MGM,"['Comedy', 'Romance']","['Brandon Baker', 'Mike Schminke', 'Sasha Jackson']","['Thomas Beecher', 'Joe Clarke']",,66,"4,354",,,29,,30,20,
The Big Brawl,"$8,527,743",1 hrs. 35 min.,N/A,"August 29, 1980",Warner Bros.,"['Action', 'Comedy', 'Crime']",,Robert Clouse,,68,"4,404",,,58,,67,42,
The Awakening,"$8,415,112",1 hrs. 45 min.,N/A,"October 31, 1980",Warner Bros.,"['Horror', 'Thriller']","['Rebecca Hall', 'Dominic West', 'Imelda Staunton']",['Mike Newell'],,69,"4,416",,,65,53,None,None,
Fatso,"$7,653,061",1 hrs. 33 min.,N/A,"February 1, 1980",Fox,"['Comedy', 'Drama']",,,,70,"4,549",,,57,,None,66,
How to Beat the High Cost of Living,"$7,500,000",1 hrs. 45 min.,N/A,"January 1, 1980",Filmways,"['Comedy', 'Crime']","['Susan Saint James', 'Jane Curtin', 'Jessica Lange']",Robert Scheerer,,72,"4,575",,,58,,None,None,
How to Become a Detective,"$7,500,000",N/A,N/A,"June 1, 1980",Filmways,"['Animation', 'Short', 'Comedy', 'Crime', 'Family']","['Billy Bletcher', 'Pinto Colvig', 'June Foray']",Jack Kinney,,71,"4,574",,,72,,None,None,
Foxes,"$7,470,348",1 hrs. 46 min.,N/A,"February 29, 1980",MGM,['Drama'],"['Jodie Foster', 'Cherie Currie', 'Marilyn Kagan']",Adrian Lyne,,73,"4,579",,,61,,67,58,
The Big Red One,"$7,206,220",1 hrs. 13 min.,N/A,"July 18, 1980",MGM,"['Action', 'Drama', 'War']","['Lee Marvin', 'Mark Hamill', 'Robert Carradine']",Samuel Fuller,,74,"4,630",,,72,77,91,78,
The Stunt Man,"$7,063,886",2 hrs. 11 min.,N/A,"June 27, 1980",Fox,"['Action', 'Comedy', 'Drama', 'Romance', 'Thriller']","[""Peter O'Toole"", 'Steve Railsback', 'Barbara Hershey']",Richard Rush,,75,"4,655",,,73,,89,76,
The Stunt Man,"$7,063,886",2 hrs. 11 min.,N/A,"June 27, 1980",Fox,"['Action', 'Comedy', 'Drama', 'Romance', 'Thriller']","[""Peter O'Toole"", 'Steve Railsback', 'Barbara Hershey']",Richard Rush,,75,"4,655",,,73,,89,76,
The Gong Show Movie,"$6,621,520",1 hrs. 29 min.,N/A,"May 23, 1980",Universal,['Comedy'],"['Chuck Barris', 'Robin Altman', ""Brian O'Mullin""]",['Chuck Barris'],,77,"4,746",,,38,,None,40,
Motel Hell,"$6,342,668",1 hrs. 42 min.,N/A,"October 24, 1980",MGM,"['Comedy', 'Horror', 'Thriller']","['Rory Calhoun', 'Paul Linke', 'Nancy Parsons']",Kevin Connor,,78,"4,798",,,60,,None,None,
Little Miss Marker,"$6,321,392",1 hrs. 43 min.,N/A,"March 21, 1980",Universal,"['Comedy', 'Drama', 'Romance']","['Walter Matthau', 'Julie Andrews', 'Tony Curtis']",Walter Bernstein,,79,"4,805",,,62,,None,None,
Divine Madness,"$5,318,098",1 hrs. 26 min.,N/A,"September 26, 1980",Warner Bros.,"['Documentary', 'Comedy', 'Music']","['Bette Midler', 'Jocelyn Brown', 'Ula Hedwig']",Michael Ritchie,,81,"5,029",,,69,,None,92,
In God We Trust,"$5,215,015",1 hrs. 37 min.,N/A,"September 26, 1980",Universal,"['Action', 'Crime', 'Thriller']","['Christian Slater', 'Val Kilmer', 'Sara Downing']",Predrag Antonijevic,,82,"5,052",,,45,,None,50,
He Knows You're Alone,"$4,875,436",1 hrs. 34 min.,N/A,"August 29, 1980",MGM,"['Horror', 'Thriller']","['Don Scardino', ""Caitlin O'Heaney"", 'Elizabeth Kemp']",Armand Mastroianni,,83,"5,127",,,48,,20,29,
Coast to Coast,"$4,495,445",1 hrs. 34 min.,N/A,"October 3, 1980",Paramount,"['Comedy', 'Drama', 'Romance']","['Dyan Cannon', 'Robert Blake', 'Quinn K. Redeker']",Joseph Sargent,['Steve Tisch'],84,"5,217",,,52,,None,30,
Willie & Phil,"$4,400,000",1 hrs. 55 min.,N/A,1980,Fox,"['Comedy', 'Drama', 'Romance']","['Michael Ontkean', 'Margot Kidder', 'Ray Sharkey']",Paul Mazursky,,85,"5,244",,,58,,None,None,
Melvin and Howard,"$4,309,490",1 hrs. 35 min.,N/A,"October 24, 1980",Universal,"['Comedy', 'Drama']","['Paul Le Mat', 'Jason Robards', 'Elizabeth Cheshire']",['Jonathan Demme'],,86,"5,272",,,69,,94,62,
Roadie,"$4,226,370",1 hrs. 45 min.,N/A,"June 13, 1980",MGM,"['Comedy', 'Musical']","['Meat Loaf', 'Kaki Hunter', 'Art Carney']",Alan Rudolph,,87,"5,292",,,50,,72,33,
Gloria,"$4,059,673",2 hrs. 3 min.,N/A,"October 1, 1980",Columbia,"['Drama', 'History', 'War']","['Matthew Broderick', 'Denzel Washington', 'Cary Elwes']",Edward Zwick,,88,"5,343",,,79,,None,79,
Jaws 2,"$4,028,735",1 hrs. 57 min.,N/A,"February 15, 1980",Universal,"['Horror', 'Thriller']","['Roy Scheider', 'Lorraine Gary', 'Murray Hamilton']",Jeannot Szwarc,,89,,26 theaters,,57,,53,38,
Kagemusha,"$4,000,000",2 hrs. 42 min.,$6 million,"October 10, 1980",Fox,"['Drama', 'History', 'War']","['Tatsuya Nakadai', 'Tsutomu Yamazaki', ""Ken'ichi Hagiwara""]",Akira Kurosawa,['George Lucas (Executive)'],90,"5,360",,,80,,,,
Resurrection,"$3,910,019",1 hrs. 43 min.,N/A,"September 26, 1980",Universal,"['Drama', 'Fantasy']","['Mark Hildreth', 'Samaire Armstrong', 'Frances Fisher']",,,91,"5,386",,,75,,100,80,
Hide in Plain Sight,"$3,806,930",1 hrs. 32 min.,N/A,"March 21, 1980",MGM,['Drama'],"['James Caan', 'Jill Eikenberry', 'Robert Viharo']",James Caan,,92,"5,410",,,63,,None,None,
Guyana: Cult of the Damned,"$3,798,102",1 hrs. 30 min.,N/A,"January 25, 1980",Universal,"['Drama', 'Thriller']","['Stuart Whitman', 'Gene Barry', 'John Ireland']",,,93,"5,415",748 theaters,,53,,None,9,
When Time Ran Out,"$3,763,988",2 hrs. 1 min.,$20 million,"March 28, 1980",Warner Bros.,"['Action', 'Adventure', 'Drama', 'Thriller']","['Paul Newman', 'Jacqueline Bisset', 'William Holden']",James Goldstone,,94,"5,433",677 theaters,,43,,None,None,
Heaven's Gate,"$3,484,331",3 hrs. 39 min.,$44 million,"November 19, 1980",United Artists,"['Adventure', 'Drama', 'History', 'Romance', 'Western']","['Kris Kristofferson', 'Christopher Walken', 'John Hurt']",Michael Cimino,,95,"5,519",,,67,,59,55,
Ffolkes,"$2,993,772",1 hrs. 40 min.,N/A,"April 18, 1980",Universal,"['Action', 'Adventure', 'Thriller']","['Roger Moore', 'James Mason', 'Anthony Perkins']",Andrew V. McLaglen,,96,"5,676",398 theaters,,63,,None,None,
Midnight Madness,"$2,900,000",1 hrs. 52 min.,N/A,"February 8, 1980",Buena Vista,"['Family', 'Comedy']","['David Naughton', 'Debra Clinger', 'David Damas']","['Michael Nankin', 'David Wechter']",,97,"5,703",,,65,,None,72,
Loving Couples,"$2,806,659",1 hrs. 37 min.,N/A,"October 24, 1980",Fox,['Comedy'],"['Shirley MacLaine', 'James Coburn', 'Susan Sarandon']",Jack Smight,,98,"5,743",,,52,,None,23,
The Idolmaker,"$2,625,716",1 hrs. 59 min.,N/A,"November 14, 1980",MGM,"['Biography', 'Drama', 'Music', 'Romance']","['Ray Sharkey', 'Tovah Feldshuh', 'Peter Gallagher']",['Taylor Hackford'],,99,"5,806",,,69,,88,89,
The Black Marble,"$2,500,000",1 hrs. 50 min.,N/A,"January 1, 1980",AVCO Embassy,"['Crime', 'Romance', 'Comedy', 'Drama']","['Robert Foxworth', 'Paula Prentiss', 'Harry Dean Stanton']",Harold Becker,,100,"5,854",,,62,,None,64,
Raiders of the Lost Ark,"$212,222,025",1 hrs. 55 min.,$18 million,"June 12, 1981",Paramount,"['Action', 'Adventure']","['Harrison Ford', 'Karen Allen', 'Paul Freeman']",['Steven Spielberg'],['George Lucas (Executive)Frank Marshall'],1,90,"1,078 theaters","March 18, 1982",86,9,95,96,"$23,139,994"
On Golden Pond,"$119,285,432",1 hrs. 49 min.,N/A,"December 4, 1981",Universal,['Drama'],"['Katharine Hepburn', 'Henry Fonda', 'Jane Fonda']",['Mark Rydell'],['Bruce Gilbert'],2,444,"1,015 theaters",,77,,92,87,
Superman II,"$108,185,706",2 hrs. 8 min.,$54 million,"June 19, 1981",Warner Bros.,"['Action', 'Romance', 'Sci-Fi']","['Gene Hackman', 'Christopher Reeve', 'Margot Kidder']","['Richard Lester', 'Richard Donner']",,3,521,"1,878 theaters",,68,87,89,75,
Arthur,"$95,461,682",1 hrs. 37 min.,N/A,"July 17, 1981",Warner Bros.,"['Comedy', 'Romance']","['Russell Brand', 'Helen Mirren', 'Jennifer Garner']",Jason Winer,['Michael Tadross'],4,633,701 theaters,,58,36,26,45,"$6,896,431"
Stripes,"$85,297,000",1 hrs. 46 min.,N/A,"June 26, 1981",Columbia,"['Comedy', 'War']","['Bill Murray', 'John Candy', 'Harold Ramis']",['Ivan Reitman'],['Joe Medjuck* (associate)Ivan Reitman'],5,728,,,69,,,,
The Cannonball Run,"$72,179,579",1 hrs. 35 min.,N/A,"June 19, 1981",Fox,"['Action', 'Comedy']","['Burt Reynolds', 'Roger Moore', 'Farrah Fawcett']",Hal Needham,,6,923,"1,692 theaters",,61,,31,62,
Chariots of Fire,"$58,972,904",2 hrs. 3 min.,N/A,"September 25, 1981",Columbia,"['Drama', 'History', 'Sport']","['Ben Cross', 'Ian Charleson', 'Nicholas Farrell']",Hugh Hudson,,7,"1,196",810 theaters,,72,,84,81,
For Your Eyes Only,"$54,812,802",2 hrs. 8 min.,N/A,"June 26, 1981",MGM,"['Action', 'Adventure', 'Thriller']","['Roger Moore', 'Carole Bouquet', 'Topol']",John Glen,['Michael G. Wilson (executive)'],8,"1,306",,,68,,73,64,
The Four Seasons,"$50,427,646",1 hrs. 47 min.,N/A,"May 22, 1981",Universal,Comedy,"[""America's Choice"", 'Episode #14.1', 'Not Jersey Boys XXX: A Porn Musical']",,,9,"1,447",,,,,,,
Time Bandits,"$42,365,581",1 hrs. 55 min.,N/A,"November 6, 1981",Embassy,"['Adventure', 'Comedy', 'Fantasy', 'Sci-Fi']","['Sean Connery', 'Shelley Duvall', 'John Cleese']",['Terry Gilliam'],,10,"1,706",821 theaters,,70,,91,77,
Clash of the Titans,"$41,092,328",1 hrs. 58 min.,N/A,"June 12, 1981",MGM,"['Action', 'Adventure', 'Fantasy']","['Sam Worthington', 'Liam Neeson', 'Ralph Fiennes']",Louis Leterrier,,11,"1,750",,,58,39,66,70,
Absence of Malice,"$40,716,963",1 hrs. 56 min.,N/A,"November 20, 1981",Columbia,"['Drama', 'Romance', 'Thriller']","['Paul Newman', 'Sally Field', 'Bob Balaban']",['Sydney Pollack'],['Sydney Pollack'],12,"1,769",994 theaters,,69,,None,None,
Reds,"$40,382,659",3 hrs. 14 min.,$32 million,"December 4, 1981",Paramount,"['Biography', 'Drama', 'History', 'Romance']","['Warren Beatty', 'Diane Keaton', 'Edward Herrmann']",Warren Beatty,,13,"1,786",644 theaters,,75,,94,83,
The Fox and the Hound,"$39,900,000",1 hrs. 23 min.,N/A,"July 10, 1981",Buena Vista,"['Animation', 'Adventure', 'Drama', 'Family']","['Mickey Rooney', 'Kurt Russell', 'Pearl Bailey']","['Ted Berman', 'Richard Rich']",,14,"1,103",,,73,,69,78,
"Tarzan, the Ape Man","$36,565,280",1 hrs. 55 min.,N/A,"July 24, 1981",MGM,['Adventure'],"['Bo Derek', 'Richard Harris', ""Miles O'Keeffe""]",John Derek,,15,"1,985",,,31,,11,21,
